district,village,pollingStation,agree,disagree,vaildCount,invaildCount,Total,getNotVote,votePeople,reserveVote,villagePeople,percentage
總計,,,77899,73433,151332,1235,152567,0,152567,142409,294976,51.72%
沙鹿區,,,19922,17670,37592,341,37933,0,37933,35424,73357,51.71%
沙鹿區,居仁里,0001,167,236,403,2,405,0,405,329,734,55.18%
沙鹿區,居仁里,0002,153,116,269,2,271,0,271,302,573,47.29%
沙鹿區,洛泉里,0003,201,218,419,7,426,0,426,377,803,53.05%
沙鹿區,洛泉里,0004,345,314,659,3,662,0,662,450,1112,59.53%
沙鹿區,沙鹿里,0005,209,294,503,7,510,0,510,359,869,58.69%
沙鹿區,美仁里,0006,156,123,279,1,280,0,280,195,475,58.95%
沙鹿區,興仁里,0007,206,193,399,3,402,0,402,346,748,53.74%
沙鹿區,興仁里,0008,265,221,486,4,490,0,490,416,906,54.08%
沙鹿區,興仁里,0009,161,207,368,5,373,0,373,307,680,54.85%
沙鹿區,興安里,0010,285,353,638,10,648,0,648,606,1254,51.67%
沙鹿區,興安里,0011,287,258,545,6,551,0,551,518,1069,51.54%
沙鹿區,興安里,0012,213,238,451,3,454,0,454,467,921,49.29%
沙鹿區,斗抵里,0013,309,248,557,1,558,0,558,452,1010,55.25%
沙鹿區,斗抵里,0014,270,258,528,6,534,0,534,412,946,56.45%
沙鹿區,斗抵里,0015,350,383,733,9,742,0,742,626,1368,54.24%
沙鹿區,斗抵里,0016,242,229,471,5,476,0,476,407,883,53.91%
沙鹿區,鹿峰里,0017,265,280,545,4,549,0,549,617,1166,47.08%
沙鹿區,鹿峰里,0018,285,308,593,8,601,0,601,564,1165,51.59%
沙鹿區,鹿峰里,0019,294,400,694,8,702,0,702,628,1330,52.78%
沙鹿區,鹿峰里,0020,338,435,773,3,776,0,776,725,1501,51.70%
沙鹿區,鹿寮里,0021,256,340,596,6,602,0,602,541,1143,52.67%
沙鹿區,鹿寮里,0022,244,362,606,6,612,0,612,506,1118,54.74%
沙鹿區,鹿寮里,0023,242,340,582,3,585,0,585,531,1116,52.42%
沙鹿區,鹿寮里,0024,197,340,537,15,542,0,542,477,1019,53.19%
沙鹿區,鹿寮里,0025,230,371,601,6,607,0,607,496,1103,55.03%
沙鹿區,鹿寮里,0026,319,290,609,2,611,0,611,463,1074,56.89%
沙鹿區,竹林里,0027,245,178,423,9,432,0,432,461,893,48.38%
沙鹿區,竹林里,0028,217,231,448,2,450,0,450,401,851,52.88%
沙鹿區,竹林里,0029,281,231,512,2,514,0,514,518,1032,49.81%
沙鹿區,竹林里,0030,264,251,515,4,519,0,519,535,1054,49.24%
沙鹿區,竹林里,0031,223,272,495,3,498,0,498,578,1076,46.28%
沙鹿區,竹林里,0032,312,252,564,1,565,0,565,531,1096,51.55%
沙鹿區,竹林里,0033,277,258,535,4,539,0,539,503,1042,51.73%
沙鹿區,犁分里,0034,254,289,543,6,549,0,549,494,1043,52.64%
沙鹿區,福興里,0035,397,326,723,10,733,0,733,621,1354,54.14%
沙鹿區,福興里,0036,362,220,582,4,586,0,586,508,1094,53.56%
沙鹿區,福興里,0037,317,283,600,6,606,0,606,645,1251,48.44%
沙鹿區,北勢里,0038,241,196,437,9,446,0,446,500,946,47.15%
沙鹿區,北勢里,0039,260,192,452,5,457,0,457,416,873,52.35%
沙鹿區,北勢里,0040,255,238,493,3,496,0,496,500,996,49.80%
